=== favored regions ====
region 1:

        -177.5 -180.0
        -177.5 -177.5
        -172.5 -177.5
        -172.5 -172.5
        -167.5 -172.5
        -167.5 -167.5
        -127.5 -167.5
        -127.5 -172.5
        -97.5 -172.5
        -97.5 -167.5
        -77.5 -167.5
        -77.5 -172.5
        -72.5 -172.5
        -72.5 -177.5
        -67.5 -177.5
        -67.5 -180.0
region 2:
        57.5 67.5
        57.5 62.5
        62.5 62.5
        62.5 57.5
        67.5 57.5
        67.5 47.5
        72.5 47.5
        77.5 32.5
        77.5 2.5
        62.5 2.5
        62.5 7.5
        57.5 7.5
        57.5 12.5
        52.5 12.5
        52.5 22.5
        47.5 22.5
        47.5 27.5
        42.5 27.5
        42.5 37.5
        37.5 37.5
        37.5 62.5
        42.5 62.5
        42.5 67.5
        57.5 67.5
region 3:
        -62.5 180.0
        -62.5 172.5
        -57.5 172.5
        -57.5 167.5
        -52.5 167.5
        -52.5 157.5
        -47.5 157.5
        -47.5 147.5
        -42.5 147.5
        -42.5 137.5
        -37.5 137.5
        -37.5 122.5
        -42.5 122.5
        -42.5 117.5
        -47.5 117.5
        -47.5 112.5
        -57.5 112.5
        -57.5 107.5
        -62.5 107.5
        -62.5 102.5
        -67.5 102.5
        -67.5 97.5
        -72.5 97.5
        -72.5 62.5
        -77.5 62.5
        -77.5 52.5
        -87.5 52.5
        -87.5 47.5
        -92.5 47.5
        -92.5 52.5
        -97.5 52.5
        -97.5 67.5
        -102.5 67.5
        -102.5 77.5
        -107.5 77.5
        -107.5 82.5
        -112.5 82.5
        -112.5 72.5
        -117.5 72.5
        -117.5 62.5
        -122.5 62.5
        -122.5 52.5
        -127.5 52.5
        -127.5 47.5
        -112.5 47.5
        -112.5 42.5
        -102.5 42.5
        -102.5 37.5
        -92.5 37.5
        -92.5 32.5
        -87.5 32.5
        -87.5 22.5
        -82.5 22.5
        -82.5 17.5
        -77.5 17.5
        -77.5 12.5
        -67.5 12.5
        -67.5 7.5
        -62.5 7.5
        -62.5 2.5
        -57.5 2.5
        -57.5 -7.5
        -52.5 -7.5
        -52.5 -12.5
        -47.5 -12.5
        -47.5 -22.5
        -42.5 -22.5
        -42.5 -32.5
        -37.5 -32.5
        -37.5 -62.5
        -42.5 -62.5
        -42.5 -67.5
        -77.5 -67.5
        -77.5 -62.5
        -117.5 -62.5
        -117.5 -57.5
        -122.5 -57.5
        -122.5 -47.5
        -127.5 -47.5
        -127.5 -37.5
        -132.5 -37.5
        -132.5 -17.5
        -137.5 -17.5
        -137.5 2.5
        -142.5 2.5
        -142.5 32.5
        -137.5 32.5
        -137.5 52.5
        -142.5 52.5
        -142.5 57.5
        -147.5 57.5
